State,Year,Percapta,Trated
New Hampshire,1985,539,0
New Mexico,1985,538,0
North Carolina,1985,537,0
North Dakota,1985,536,0
Ohio,1985,535,0
Oklahoma,1985,534,0
Pennsylvania,1985,533,0
Rhode Island,1985,532,0
South Carolina,1985,531,0
South Dakota,1985,530,0
Tennessee,1985,529,0
Texas,1985,528,0
Utah,1985,527,0
Vermont,1985,526,0
Virginia,1985,525,0
West Virginia,1985,524,0
Wisconsin,1985,523,0
Wyomming,1985,522,0
California,1985,521,0
Alabama,1986,520,0
Arkansas,1986,519,0
Colorado,1986,518,0
Connecticut,1986,517,0
Delaware,1986,516,0
Georgia,1986,515,0
Idaho,1986,514,0
Illinois,1986,513,0
Indiana,1986,512,0
Iowa,1986,511,0
Kansas,1986,510,0
Kentucky,1986,509,0
Louisiana,1986,508,0
Maine,1986,507,0
Monnesota,1986,506,0
Mississippi,1986,505,0
Missouri,1986,504,0
Montana,1986,503,0
Nebraska,1986,502,0
Nevada,1986,501,0
New Hampshire,1986,500,0
New Mexico,1986,499,0
North Carolina,1986,498,0
North Dakota,1986,497,0
Ohio,1986,496,0
Oklahoma,1986,495,0
Pennsylvania,1986,494,0
Rhode Island,1986,493,0
South Carolina,1986,492,0
South Dakota,1986,491,0
Tennessee,1986,490,0
Texas,1986,489,0
Utah,1986,488,0
Vermont,1986,487,0
Virginia,1986,486,0
West Virginia,1986,485,0
Wisconsin,1986,484,0
Wyomming,1986,483,0
California,1986,482,0
Alabama,1987,481,0
Arkansas,1987,480,0
Colorado,1987,479,0
Connecticut,1987,478,0
Delaware,1987,477,0
Georgia,1987,476,0
Idaho,1987,475,0
Illinois,1987,474,0
Indiana,1987,473,0
Iowa,1987,472,0
Kansas,1987,471,0
Kentucky,1987,470,0
Louisiana,1987,469,0
Maine,1987,468,0
Monnesota,1987,467,0
Mississippi,1987,466,0
Missouri,1987,465,0
Montana,1987,464,0
Nebraska,1987,463,0
Nevada,1987,462,0
New Hampshire,1987,461,0
New Mexico,1987,460,0
North Carolina,1987,459,0
North Dakota,1987,458,0
Ohio,1987,457,0
Oklahoma,1987,456,0
Pennsylvania,1987,455,0
Rhode Island,1987,454,0
South Carolina,1987,453,0
South Dakota,1987,452,0
Tennessee,1987,451,0
Texas,1987,450,0
Utah,1987,449,0
Vermont,1987,448,0
Virginia,1987,447,0
West Virginia,1987,446,0
Wisconsin,1987,445,0
Wyomming,1987,444,0
California,1987,443,0
Alabama,1988,442,0
Arkansas,1988,441,0
Colorado,1988,440,0
Connecticut,1988,439,0
Delaware,1988,438,0
Georgia,1988,437,0
Idaho,1988,436,0
Illinois,1988,435,0
Indiana,1988,434,0
Iowa,1988,433,0
Kansas,1988,432,0
Kentucky,1988,431,0
Louisiana,1988,430,0
Maine,1988,429,0
Monnesota,1988,428,0
Mississippi,1988,427,0
Missouri,1988,426,0
Montana,1988,425,0
Nebraska,1988,424,0
Nevada,1988,423,0
New Hampshire,1988,422,0
New Mexico,1988,421,0
North Carolina,1988,420,0
North Dakota,1988,419,0
Ohio,1988,418,0
Oklahoma,1988,417,0
Pennsylvania,1988,416,0
Rhode Island,1988,415,0
South Carolina,1988,414,0
South Dakota,1988,413,0
Tennessee,1988,412,0
Texas,1988,411,0
Utah,1988,410,0
Vermont,1988,409,0
Virginia,1988,408,0
West Virginia,1988,407,0
Wisconsin,1988,406,0
Wyomming,1988,405,0
California,1988,404,0
Alabama,1989,403,0
Arkansas,1989,402,0
Colorado,1989,401,0
Connecticut,1989,400,0
Delaware,1989,399,0
Georgia,1989,398,0
Idaho,1989,397,0
Illinois,1989,396,0
Indiana,1989,395,0
Iowa,1989,394,0
Kansas,1989,393,0
Kentucky,1989,392,0
Louisiana,1989,391,0
Maine,1989,390,0
Monnesota,1989,389,0
Mississippi,1989,388,0
Missouri,1989,387,0
Montana,1989,386,0
Nebraska,1989,385,0
Nevada,1989,384,0
New Hampshire,1989,383,0
New Mexico,1989,382,0
North Carolina,1989,381,0
North Dakota,1989,380,0
Ohio,1989,379,0
Oklahoma,1989,378,0
Pennsylvania,1989,377,0
Rhode Island,1989,376,0
South Carolina,1989,375,0
South Dakota,1989,374,0
Tennessee,1989,373,0
Texas,1989,372,0
Utah,1989,371,0
Vermont,1989,370,0
Virginia,1989,369,0
West Virginia,1989,368,0
Wisconsin,1989,367,0
Wyomming,1989,366,0
California,1989,365,1
Alabama,1990,364,0
Arkansas,1990,363,0
Colorado,1990,362,0
Connecticut,1990,361,0
Delaware,1990,360,0
Georgia,1990,359,0
Idaho,1990,358,0
Illinois,1990,357,0
Indiana,1990,356,0
Iowa,1990,355,0
Kansas,1990,354,0
Kentucky,1990,353,0
Louisiana,1990,352,0
Maine,1990,351,0
Monnesota,1990,350,0
Mississippi,1990,349,0
Missouri,1990,348,0
Montana,1990,347,0
Nebraska,1990,346,0
Nevada,1990,345,0
New Hampshire,1990,344,0
New Mexico,1990,343,0
North Carolina,1990,342,0
North Dakota,1990,341,0
Ohio,1990,340,0
Oklahoma,1990,339,0
Pennsylvania,1990,338,0
Rhode Island,1990,337,0
South Carolina,1990,336,0
South Dakota,1990,335,0
Tennessee,1990,334,0
Texas,1990,333,0
Utah,1990,332,0
Vermont,1990,331,0
Virginia,1990,330,0
West Virginia,1990,329,0
Wisconsin,1990,328,0
Wyomming,1990,327,0
California,1990,326,1
Alabama,1991,325,0
Arkansas,1991,324,0
Colorado,1991,323,0
Connecticut,1991,322,0
Delaware,1991,321,0
Georgia,1991,320,0
Idaho,1991,319,0
Illinois,1991,318,0
Indiana,1991,317,0
Iowa,1991,316,0
Kansas,1991,315,0
Kentucky,1991,314,0
Louisiana,1991,313,0
Maine,1991,312,0
Monnesota,1991,311,0
Mississippi,1991,310,0
Missouri,1991,309,0
Montana,1991,308,0
Nebraska,1991,307,0
Nevada,1991,306,0
New Hampshire,1991,305,0
New Mexico,1991,304,0
North Carolina,1991,303,0
North Dakota,1991,302,0
Ohio,1991,301,0
Oklahoma,1991,300,0
Pennsylvania,1991,299,0
Rhode Island,1991,298,0
South Carolina,1991,297,0
South Dakota,1991,296,0
Tennessee,1991,295,0
Texas,1991,294,0
Utah,1991,293,0
Vermont,1991,292,0
Virginia,1991,291,0
West Virginia,1991,290,0
Wisconsin,1991,289,0
Wyomming,1991,288,0
California,1991,287,1
Alabama,1992,286,0
Arkansas,1992,285,0
Colorado,1992,284,0
Connecticut,1992,283,0
Delaware,1992,282,0
Georgia,1992,281,0
Idaho,1992,280,0
Illinois,1992,279,0
Indiana,1992,278,0
Iowa,1992,277,0
Kansas,1992,276,0
Kentucky,1992,275,0
Louisiana,1992,274,0
Maine,1992,273,0
Monnesota,1992,272,0
Mississippi,1992,271,0
Missouri,1992,270,0
Montana,1992,269,0
Nebraska,1992,268,0
Nevada,1992,267,0
New Hampshire,1992,266,0
New Mexico,1992,265,0
North Carolina,1992,264,0
North Dakota,1992,263,0
Ohio,1992,262,0
Oklahoma,1992,261,0
Pennsylvania,1992,260,0
Rhode Island,1992,259,0
South Carolina,1992,258,0
South Dakota,1992,257,0
Tennessee,1992,256,0
Texas,1992,255,0
Utah,1992,254,0
Vermont,1992,253,0
Virginia,1992,252,0
West Virginia,1992,251,0
Wisconsin,1992,250,0
Wyomming,1992,249,0
California,1992,248,1
Alabama,1993,247,0
Arkansas,1993,246,0
Colorado,1993,245,0
Connecticut,1993,244,0
Delaware,1993,243,0
Georgia,1993,242,0
Idaho,1993,241,0
Illinois,1993,240,0
Indiana,1993,239,0
Iowa,1993,238,0
Kansas,1993,237,0
Kentucky,1993,236,0
Louisiana,1993,235,0
Maine,1993,234,0
Monnesota,1993,233,0
Mississippi,1993,232,0
Missouri,1993,231,0
Montana,1993,230,0
Nebraska,1993,229,0
Nevada,1993,228,0
New Hampshire,1993,227,0
New Mexico,1993,226,0
North Carolina,1993,225,0
North Dakota,1993,224,0
Ohio,1993,223,0
Oklahoma,1993,222,0
Pennsylvania,1993,221,0
Rhode Island,1993,220,0
South Carolina,1993,219,0
South Dakota,1993,218,0
Tennessee,1993,217,0
Texas,1993,216,0
Utah,1993,215,0
Vermont,1993,214,0
Virginia,1993,213,0
West Virginia,1993,212,0
Wisconsin,1993,211,0
Wyomming,1993,210,0
California,1993,209,1
Alabama,1994,208,0
Arkansas,1994,207,0
Colorado,1994,206,0
Connecticut,1994,205,0
Delaware,1994,204,0
Georgia,1994,203,0
Idaho,1994,202,0
Illinois,1994,201,0
Indiana,1994,200,0
Iowa,1994,199,0
Kansas,1994,198,0
Kentucky,1994,197,0
Louisiana,1994,196,0
Maine,1994,195,0
Monnesota,1994,194,0
Mississippi,1994,193,0
Missouri,1994,192,0
Montana,1994,191,0
Nebraska,1994,190,0
Nevada,1994,189,0
New Hampshire,1994,188,0
New Mexico,1994,187,0
North Carolina,1994,186,0
North Dakota,1994,185,0
Ohio,1994,184,0
Oklahoma,1994,183,0
Pennsylvania,1994,182,0
Rhode Island,1994,181,0
South Carolina,1994,180,0
South Dakota,1994,179,0
Tennessee,1994,178,0
Texas,1994,177,0
Utah,1994,176,0
Vermont,1994,175,0
Virginia,1994,174,0
West Virginia,1994,173,0
Wisconsin,1994,172,0
Wyomming,1994,171,0
California,1994,170,1
Alabama,1995,169,0
Arkansas,1995,168,0
Colorado,1995,167,0
Connecticut,1995,166,0
Delaware,1995,165,0
Georgia,1995,164,0
Idaho,1995,163,0
Illinois,1995,162,0
Indiana,1995,161,0
Iowa,1995,160,0
Kansas,1995,159,0
Kentucky,1995,158,0
Louisiana,1995,157,0
Maine,1995,156,0
Monnesota,1995,155,0
Mississippi,1995,154,0
Missouri,1995,153,0
Montana,1995,152,0
Nebraska,1995,151,0
Nevada,1995,150,0
New Hampshire,1995,149,0
New Mexico,1995,148,0
North Carolina,1995,147,0
North Dakota,1995,146,0
Ohio,1995,145,0
Oklahoma,1995,144,0
Pennsylvania,1995,143,0
Rhode Island,1995,142,0
South Carolina,1995,141,0
South Dakota,1995,140,0
Tennessee,1995,139,0
Texas,1995,138,0
Utah,1995,137,0
Vermont,1995,136,0
Virginia,1995,135,0
West Virginia,1995,134,0
Wisconsin,1995,133,0
Wyomming,1995,132,0
California,1995,131,1
Alabama,1996,130,0
Arkansas,1996,129,0
Colorado,1996,128,0
Connecticut,1996,127,0
Delaware,1996,126,0
Georgia,1996,125,0
Idaho,1996,124,0
Illinois,1996,123,0
Indiana,1996,122,0
Iowa,1996,121,0
Kansas,1996,120,0
Kentucky,1996,119,0
Louisiana,1996,118,0
Maine,1996,117,0
Monnesota,1996,116,0
Mississippi,1996,115,0
Missouri,1996,114,0
Montana,1996,113,0
Nebraska,1996,112,0
Nevada,1996,111,0
New Hampshire,1996,110,0
New Mexico,1996,109,0
North Carolina,1996,108,0
North Dakota,1996,107,0
Ohio,1996,106,0
Oklahoma,1996,105,0
Pennsylvania,1996,104,0
Rhode Island,1996,103,0
South Carolina,1996,102,0
South Dakota,1996,101,0
Tennessee,1996,100,0
Texas,1996,99,0
Utah,1996,98,0
Vermont,1996,97,0
Virginia,1996,96,0
West Virginia,1996,95,0
Wisconsin,1996,94,0
Wyomming,1996,93,0
California,1996,92,1
Alabama,1997,91,0
Arkansas,1997,90,0
Colorado,1997,89,0
Connecticut,1997,88,0
Delaware,1997,87,0
Georgia,1997,86,0
Idaho,1997,85,0
Illinois,1997,84,0
Indiana,1997,83,0
Iowa,1997,82,0
Kansas,1997,81,0
Kentucky,1997,80,0
Louisiana,1997,79,0
Maine,1997,78,0
Monnesota,1997,77,0
Mississippi,1997,76,0
Missouri,1997,75,0
Montana,1997,74,0
Nebraska,1997,73,0
Nevada,1997,72,0
New Hampshire,1997,71,0
New Mexico,1997,70,0
North Carolina,1997,69,0
North Dakota,1997,68,0
Ohio,1997,67,0
Oklahoma,1997,66,0
Pennsylvania,1997,65,0
Rhode Island,1997,64,0
South Carolina,1997,63,0
South Dakota,1997,62,0
Tennessee,1997,61,0
Texas,1997,60,0
Utah,1997,59,0
Vermont,1997,58,0
Virginia,1997,57,0
West Virginia,1997,56,0
Wisconsin,1997,55,0
Wyomming,1997,54,0
California,1997,53,1
Alabama,1998,52,0
Arkansas,1998,51,0
Colorado,1998,50,0
Connecticut,1998,49,0
Delaware,1998,48,0
Georgia,1998,47,0
Idaho,1998,46,0
Illinois,1998,45,0
Indiana,1998,44,0
Iowa,1998,43,0
Kansas,1998,42,0
Kentucky,1998,41,0
Louisiana,1998,40,0
Maine,1998,39,0
Monnesota,1998,38,0
Mississippi,1998,37,0
Missouri,1998,36,0
Montana,1998,35,0
Nebraska,1998,34,0
Nevada,1998,33,0
New Hampshire,1998,32,0
New Mexico,1998,31,0
North Carolina,1998,30,0
North Dakota,1998,29,0
Ohio,1998,28,0
Oklahoma,1998,27,0
Pennsylvania,1998,26,0
Rhode Island,1998,25,0
South Carolina,1998,24,0
South Dakota,1998,23,0
Tennessee,1998,22,0
Texas,1998,21,0
Utah,1998,20,0
Vermont,1998,19,0
Virginia,1998,18,0
West Virginia,1998,17,0
Wisconsin,1998,16,0
Wyomming,1998,15,0
California,1998,14,1
Alabama,1999,13,0
Arkansas,1999,12,0
Colorado,1999,11,0
Connecticut,1999,10,0
Delaware,1999,9,0
Georgia,1999,8,0
Idaho,1999,7,0
Illinois,1999,6,0
Indiana,1999,569,0
Iowa,1999,568,0
Kansas,1999,567,0
Kentucky,1999,566,0
Louisiana,1999,565,0
Maine,1999,564,0
Monnesota,1999,563,0
Mississippi,1999,562,0
Missouri,1999,561,0
Montana,1999,560,0
Nebraska,1999,559,0
Nevada,1999,558,0
New Hampshire,1999,557,0
New Mexico,1999,556,0
North Carolina,1999,555,0
North Dakota,1999,554,0
Ohio,1999,553,0
Oklahoma,1999,552,0
Pennsylvania,1999,551,0
Rhode Island,1999,550,0
South Carolina,1999,549,0
South Dakota,1999,548,0
Tennessee,1999,547,0
Texas,1999,546,0
Utah,1999,545,0
Vermont,1999,544,0
Virginia,1999,543,0
West Virginia,1999,542,0
Wisconsin,1999,541,0
Wyomming,1999,540,0
California,1999,539,1
Alabama,2000,538,0
Arkansas,2000,537,0
Colorado,2000,536,0
Connecticut,2000,535,0
Delaware,2000,534,0
Georgia,2000,533,0
Idaho,2000,532,0
Illinois,2000,531,0
Indiana,2000,530,0
Iowa,2000,529,0
Kansas,2000,528,0
Kentucky,2000,527,0
Louisiana,2000,526,0
Maine,2000,525,0
Monnesota,2000,524,0
Mississippi,2000,523,0
Missouri,2000,522,0
Montana,2000,521,0
Nebraska,2000,520,0
Nevada,2000,519,0
New Hampshire,2000,518,0
New Mexico,2000,517,0
North Carolina,2000,516,0
North Dakota,2000,515,0
Ohio,2000,514,0
Oklahoma,2000,513,0
Pennsylvania,2000,512,0
Rhode Island,2000,511,0
South Carolina,2000,510,0
South Dakota,2000,509,0
Tennessee,2000,508,0
Texas,2000,507,0
Utah,2000,506,0
Vermont,2000,505,0
Virginia,2000,504,0
West Virginia,2000,503,0
Wisconsin,2000,502,0
Wyomming,2000,501,0
California,2000,3,1